[KVII] 1 short 3.16 3.21 3.17 3.22 3.190530 100 800 100 200 300 500 117.56
[CaIV] 1 short 3.18 3.22 3.19 3.23 3.206710 100 800 100 200 300 500 67.27
[AlVI] 1 short 3.63 3.67 3.64 3.68 3.659710 100 800 100 200 300 500 190.48
Pfund85 2 long 3.715 3.755 3.725 3.765 3.7405 200 1000 100 300 700 1200
Brackett54 2 long 4.031 4.08 4.03 4.15 4.05226 100 800 100 200 300 600
[MgIV] 2 long 4.42 4.56 4.46 4.50 4.486680 100 700 100 200 300 600 109.24
[ArVI] 1 short 4.51 4.55 4.52 4.54 4.529520 100 800 100 200 300 500 91.01
[FeII] 1 short 5.33 5.35 5.25 5.43 5.340169 100 900 50 200 300 500 16.19
[ArII] 2 medium 6.93 7.04 6.96 7.01 6.985274 200 800 100 200 300 1200 27.63
[MgVII] 1 medium 5.33 5.35 5.25 5.43 5.503200 100 700 100 200 300 600 224.95
[MgV] 1 medium 5.58 5.635 5.57 5.64 5.609850 100 700 100 200 300 600 141.27
[H_2_S_5] 1 long 6.88 6.94 6.90 6.915 6.90952 150 151 100 200 300 400
Pfund65 2 short 7.42 7.496 7.44 7.48 7.45985 100 200 100 125 175 200 
[NeVI] 2 short 7.63 7.685 7.58 7.71 7.652400 100 700 100 200 300 600 157.93
[ArIII] 2 medium 8.90 9.10 8.95 9.05 8.9913 200 201 100 200 300 500 40.74
[H_2_S_3] 2 long 9.65 9.67 9.60 9.75 9.66491 200 201 100 150 200 300
[SIV] 2 long 10.4 10.57 10.3 10.65 10.510500 200 800 100 150 200 600 47.22
[H_2_S_2] 3 short 12.20 12.35 12.25 12.30 12.27861 200 201 100 150 200 300
[NeII] 3 short 12.73 12.92 12.77 12.87 12.813550 200 201 25 100 300 1000 40.96
[NeV]_14 3 medium 14.29 14.35 14.20 14.5 14.321700 100 800 100 200 300 900 126.21
[NeIII] 3 long 15.475 15.6351 15.38 15.70 15.5551 200 201 25 100 300 700 63.45
[H_2_S_1] 3 long 16.99 17.06 16.98 17.07 17.03483 200 201 100 150 200 300
[SIII] 4 short 18.55 18.85 18.40 19.00 18.713 200 800 100 400 700 1000 34.79
[NeV] 4 long 24.1 24.5 24.2 24.4 24.317500 100 700 100 200 300 600 126.21
[OIV] 4 long 25.62 26.08 25.8 26.0 25.890300 100 700 100 200 300 600 77.41
