name		wave
FeII_4.89	4.889137	
FeII_5.06	5.062350	
FeII_5.34	5.340169	
MgVII_5.50	5.504 
MgV_5.60	5.607 
FeII_5.67	5.673905	
NiI_5.89	5.893300	
NiII_6.63	6.636000	
FeII_6.72	6.721283	
ArII_6.99	6.985274	
NeVI_7.65	7.652400	
FeVII_7.81	7.815 
NaVI_8.61	8.611 
ArIII_8.99	8.991380	
FeVII_9.53	9.527 
SIV_10.51	10.51050	
NeII_12.81	12.81355	
NeV_14.32	14.32170	
ClII_14.37	14.3678	
NeIII_15.55	15.55510	
FeII_17.94	17.93595	
SIII_18.71	18.71300	
FeIII_22.93	22.925 
NeV_24.32	24.31750	
FeII_24.52	24.51925	
OIV_25.89	25.89030	
FeII_25.98	25.98000
H2_0-0_S(8)	5.053030E+00
H2_0-0_S(7)	5.511160E+00
H2_0-0_S(6)	6.108560E+00
H2_0-0_S(5)	6.909520E+00
H2_0-0_S(4)	8.025050E+00
H2_0-0_S(3)	9.664910E+00
H2_0-0_S(2)	1.227861E+01
H2_0-0_S(1)	1.703483E+01
H1_gamma	5.908			
H1_beta		7.503
H1_alpha	12.37		
H1_alpha_2	19.06
pf_alpha	7.459
